2017-05-03 07:30:00-2017-05-03 08:00:00,监测点id
6915,10300201
5131,10100406
4715,30606708
3879,10100404
3673,10300202
3665,10100405
3574,10100403
3432,2010131
3309,10100206
3183,30606706
3070,10100204
3041,20501405
3022,10200104
3010,10100211
2982,20501404
2948,10100205
2864,10200402
2728,30606707
2711,10300503
2641,10306101
2633,20500304
2569,2010053
2487,10200103
2435,10200102
2346,20100306
2329,10300505
2322,10300207
2282,20501403
2272,20100301
2264,30606710
2241,20501409
2181,20104605
2160,20504203
2120,20501407
2053,30606702
2040,30606704
2029,30606709
2026,20104607
2011,10300602
1989,10300212
1967,10203802
1964,10100604
1952,10203801
1910,20501406
1857,20104403
1843,20501803
1843,10101001
1785,20204001
1759,20104401
1712,10103502
1679,20104402
1653,20501402
1611,2010125
1602,10300213
1593,2010124
1588,2010123
1578,20507303
1575,20504601
1535,20504604
1527,20605302
1502,10100603
1501,20501807
1483,20301815
1444,20501811
1429,10100612
1393,10103501
1388,20507302
1378,20503401
1363,20101816
1350,2010132
1314,2010052
1295,20504602
1288,20501805
1223,2010054
1222,20606603
1183,20507301
1172,20504202
1168,20501810
1139,10101003
1122,20507304
1119,2010002
1116,20101813
1104,20502004
1103,2010003
1100,2010044
1097,20606602
1092,2010135
1082,20301814
1071,20300615
1035,2010004
1012,20606604
992,20507402
982,20602103
979,20507403
972,20200906
932,2010045
931,20104606
927,20502003
920,30701902
893,30606705
890,20504603
889,10101004
865,20400802
863,20104404
862,2010250
852,20300701
836,20504901
832,20400805
827,20400806
827,20606605
819,20200905
815,20400801
806,10101301
802,2010034
799,2010047
784,20501804
781,20606601
760,2010018
752,10107801
751,20605202
737,2010025
735,20602603
729,2010048
715,10101302
710,20602104
710,20602404
704,20602405
700,20605502
686,20503402
676,2010009
675,2010026
658,2010035
657,20501802
654,2010072
653,20101812
649,20605301
642,10107802
641,30602504
639,2010127
635,30701903
617,2010050
613,2010056
594,2010036
594,2010063
592,2010129
592,2010046
584,2010374
572,2010039
567,20602602
562,2010020
557,2010074
555,2010041
551,20602403
548,20606606
546,20605101
543,20605102
534,20101817
533,20605201
532,2010021
525,30606002
524,20605401
518,2010064
516,2010062
513,30707902
508,20504501
500,20501809
498,2010027
493,10107701
492,30603301
481,30707901
461,20605501
450,2010019
441,20605402
432,2010119
414,31006901
411,2010017
411,2010001
408,2010055
406,2010134
395,2010061
389,2010118
388,2010073
385,20602106
381,2010122
379,2010031
377,20504205
377,20402801
372,20504801
350,30608001
345,10207101
344,2010049
344,20807602
341,10107702
337,2010121
334,20807502
334,2010120
332,20605001
326,2010042
324,2010043
321,20504204
311,20807202
296,2010005
281,2010029
277,2010028
274,2010037
271,2010024
271,30602505
264,20605002
263,2010128
263,2010126
251,2010117
250,2010081
240,2010082
240,2010040
234,2010141
231,10403701
229,20807501
228,2010010
226,2010071
223,2010078
216,30608002
215,2010060
215,2010059
189,2010038
189,20504802
183,20501808
179,20204101
174,2010077
172,2010083
168,20504902
152,20807601
137,2010030
136,2010380
133,20602406
129,2010140
127,2010084
116,10207102
114,2010379
112,30602506
108,2010375
101,20602105
100,2010079
91,2010080
86,10104301
70,10300504
58,2010070
57,10300506
55,2010057
52,2010058
51,2010069
49,2010302
48,2010013
48,2010325
45,2010138
43,10200904
43,2010364
41,2010365
41,20501408
40,10200903
39,30606703
39,2010290
37,2010288
37,2010016
36,2010015
35,2010366
35,10200901
33,10100407
33,30606701
32,2010014
32,10100408
31,10100606
30,2010341
28,10100605
28,20602102
28,2010137
27,2010342
27,2010320
24,10101202
24,10100610
24,20501411
23,2010133
22,20400803
21,10300607
21,2010319
20,2010278
20,20501410
20,2010336
20,10200613
20,10100609
19,20506501
19,2010289
19,2010335
18,2010213
18,20602101
18,2010182
17,2010205
17,2010358
17,2010363
17,20504201
17,2010277
17,10101201
17,2010338
17,2010273
16,2010249
16,2010211
16,2010345
15,2010216
15,2010353
15,2010184
14,10300601
14,2010221
14,2010248
14,2010274
14,2010281
14,20506502
14,2010178
14,10200614
13,20507401
13,2010198
13,2010214
13,2010276
13,2010166
13,2010346
13,2010222
13,2010382
13,2010218
13,2010331
12,2010225
12,2010381
12,2010309
12,2010185
12,2010327
11,2010328
11,2010267
11,2010269
11,2010156
11,2010337
11,2010287
11,2010344
10,20501701
10,2010144
10,2010215
10,20807201
10,2010202
10,2010195
10,2010275
10,2010193
9,2010223
9,2010282
9,2010303
9,2010240
9,2010349
9,2010334
9,2010190
9,2010200
9,20501413
9,2010191
8,2010311
8,2010296
8,2010209
8,2010270
8,20501901
8,2010154
8,2010210
8,10103901
8,20400804
8,10301101
8,2010326
7,20602601
7,2010175
7,2010176
7,2010151
7,2010179
7,2010268
7,20501412
7,2010165
7,2010194
7,2010306
7,2010343
7,2010354
7,2010224
7,2010201
6,2010203
6,2010357
6,2010114
6,2010373
6,2010145
5,31007001
5,2010308
5,30603601
5,2010170
5,2010295
5,2010219
5,2010350
5,2010283
5,20403602
5,10301102
5,2010239
4,2010242
4,2010217
4,2010149
4,2010333
4,2010228
4,10101002
4,2010189
4,2010257
4,2010304
4,20602201
4,2010177
3,2010199
3,2010347
3,30605901
3,2010207
3,2010258
3,2010113
3,2010115
3,2010116
3,2010220
3,2010305
3,2010169
3,2010262
3,2010188
3,2010279
3,2010280
3,2010163
3,2010146
3,2010286
3,2010294
3,2010192
2,2010332
2,2010186
2,2010173
2,20501401
2,2010172
2,2010143
2,2010285
2,2010284
2,2010245
2,2010369
2,2010241
2,2010230
1,2010204
1,2010174
1,2010243
1,2010368
1,2010233
1,20602301
1,2010111
1,2010231
1,2010187
1,2010378
1,2010208
