2017-05-04 22:00:00-2017-05-04 22:10:00,监测点id
4547,20501405
3516,10200104
2750,20500304
2612,20501404
2576,10200402
2481,10100405
2133,20504202
1761,10100603
1707,10203801
1657,2010044
1563,10100406
1398,2010053
1223,10300505
1169,10200103
1152,10306101
1087,10100604
1069,10300207
1049,10300202
1047,10300602
1013,20605302
876,10300201
792,30606002
693,10100403
678,10200102
666,20501807
621,20101813
618,20100301
614,10100204
604,20204001
597,10100206
596,30606705
583,2010131
514,10100407
513,10200903
510,10300504
504,10100211
499,20501408
499,20501402
493,10100205
491,10300503
486,20200905
476,2010302
472,2010054
470,20100306
455,2010364
449,2010138
445,20104605
440,20104401
437,20104403
421,2010325
412,30701903
405,20501409
400,20104402
399,10100408
399,30606708
395,20501407
389,20507303
387,10300506
378,20501803
366,20501406
365,2010132
363,30606702
360,2010133
359,20501403
353,2010046
352,20507302
349,20501413
341,20501412
339,30606703
334,2010366
330,30606706
325,2010319
320,10300212
319,10203802
317,10301101
314,10200901
314,10100605
313,2010365
310,2010137
309,20501810
299,2010135
299,2010289
296,20501811
296,20104607
291,31006901
290,20501411
287,2010249
280,30606707
277,20504601
277,20506501
277,20507304
275,20301815
274,20504603
274,20104404
270,30606704
265,2010250
264,2010123
263,20506502
263,20101816
258,20507301
256,10200614
256,10300213
254,20300615
254,20602101
251,10100606
251,20501805
245,20501410
243,2010320
242,10300601
238,20502004
238,20605301
234,2010363
234,20501802
234,10103502
232,2010290
231,10300607
226,20504604
225,2010288
224,10103501
220,10200613
219,10301102
216,2010248
215,20606603
213,2010335
212,2010018
202,10100612
199,10101004
197,20104606
197,2010336
195,20504203
194,20502003
189,20602602
184,20301814
183,2010045
183,2010198
176,10100610
173,20101817
172,2010017
169,20503401
169,30606710
165,2010216
164,2010025
164,10101001
164,20501809
164,2010287
162,10100609
162,20602102
160,2010026
160,20602603
157,2010021
157,2010009
157,10101003
154,2010277
152,2010337
152,2010303
152,2010042
149,2010278
145,2010341
144,20504901
144,2010020
144,20606602
143,10101202
143,20602405
143,2010043
143,2010205
142,30606709
142,2010342
142,10107802
142,20400802
141,2010004
140,20507403
139,2010003
138,2010019
137,2010047
137,2010304
137,20602104
137,20507402
137,10101201
136,20602201
132,20503402
132,2010002
131,20606606
129,2010331
129,2010052
126,20400801
126,30701902
124,2010327
124,2010048
123,20605202
123,20605101
122,20504204
121,20504205
119,2010202
119,20400804
119,2010345
118,2010213
118,20606604
117,20605102
116,2010183
113,2010346
113,20400806
111,2010343
111,20400803
110,2010040
110,2010194
110,20602403
110,20606601
109,20300701
109,2010311
109,20605502
108,20400805
107,2010005
107,2010036
107,2010338
107,2010357
