2017-05-01 13:00:00-2017-05-01 13:30:00,监测点id,2017-05-01 21:30:00-2017-05-01 22:00:00,2017-05-01 08:00:00-2017-05-01 08:30:00,2017-05-01 06:30:00-2017-05-01 07:00:00,2017-05-01 11:00:00-2017-05-01 11:30:00,2017-05-01 19:30:00-2017-05-01 20:00:00,2017-05-01 05:00:00-2017-05-01 05:30:00,01:00-10:29,2017-05-01 10:30:00-2017-05-01 11:00:00,2017-05-01 12:30:00-2017-05-01 13:00:00,2017-05-01 12:00:00-2017-05-01 12:30:00,2017-05-01 13:30:00-2017-05-01 14:00:00,04:30-05:00,2017-05-01 18:30:00-2017-05-01 19:00:00,2017-05-01 10:00:00-2017-05-01 10:30:00,2017-05-01 19:00:00-2017-05-01 19:30:00,04:00-04:30,2017-05-01 15:00:00-2017-05-01 15:30:00,00:30-00:59,2017-05-01 20:00:00-2017-05-01 20:30:00,2017-05-01 09:00:00-2017-05-01 09:30:00,2017-05-01 11:30:00-2017-05-01 12:00:00,2017-05-01 21:00:00-2017-05-01 21:30:00,2017-05-01 22:30:00-2017-05-01 23:00:00,2017-05-01 16:00:00-2017-05-01 16:30:00,2017-05-01 16:30:00-2017-05-01 17:00:00,03:30-04:00,2017-05-01 14:30:00-2017-05-01 15:00:00,2017-05-01 06:00:00-2017-05-01 06:30:00,2017-05-01 20:30:00-2017-05-01 21:00:00,02:30-03:00,2017-05-01 14:00:00-2017-05-01 14:30:00,2017-05-01 23:30:00-2017-05-02 00:00:00,03:00-03:30,2017-05-01 07:30:00-2017-05-01 08:00:00,02:00-02:30,00:00-00:29,2017-05-01 07:00:00-2017-05-01 07:30:00,2017-05-01 08:30:00-2017-05-01 09:00:00,2017-05-01 17:30:00-2017-05-01 18:00:00,2017-05-01 05:30:00-2017-05-01 06:00:00,01:30-02:00,2017-05-01 23:00:00-2017-05-01 23:30:00,2017-05-01 17:00:00-2017-05-01 17:30:00,2017-05-01 09:30:00-2017-05-01 10:00:00,2017-05-01 22:00:00-2017-05-01 22:30:00
3906.0,10300201,3706.0,1668.0,985.0,651.0,3607.0,471.0,961.0,290.0,2489.0,2974.0,4434.0,435.0,4897.0,794.0,3287.0,453.0,757.0,1989.0,3675.0,1507.0,1315.0,3590.0,2900.0,1478.0,1591.0,475.0,807.0,723.0,3613.0,559.0,1172.0,2633.0,508.0,1357.0,705.0,1974.0,1111.0,1949.0,2930.0,596.0,863.0,2669.0,1845.0,651.0,3321.0
3746.0,10100204,4791.0,1562.0,786.0,653.0,4714.0,390.0,822.0,453.0,2540.0,3005.0,4110.0,400.0,4499.0,1145.0,4531.0,405.0,601.0,978.0,4934.0,1550.0,1361.0,5034.0,1680.0,1318.0,1048.0,426.0,691.0,607.0,4556.0,550.0,1340.0,1186.0,529.0,1355.0,652.0,1220.0,1035.0,1978.0,2310.0,474.0,714.0,1406.0,1057.0,920.0,4426.0
3668.0,20501803,1725.0,943.0,643.0,767.0,4412.0,325.0,779.0,468.0,2499.0,3246.0,4222.0,282.0,4087.0,1081.0,4163.0,184.0,684.0,917.0,1807.0,1202.0,1430.0,1886.0,1393.0,1475.0,1516.0,272.0,756.0,576.0,2116.0,398.0,1198.0,1091.0,329.0,848.0,651.0,950.0,698.0,1026.0,2818.0,468.0,700.0,1318.0,1610.0,999.0,1555.0
3654.0,10100404,3269.0,1339.0,634.0,522.0,3081.0,266.0,821.0,393.0,2384.0,2901.0,3625.0,257.0,3369.0,1093.0,2888.0,280.0,554.0,1014.0,2811.0,1260.0,1056.0,3258.0,3005.0,994.0,1035.0,369.0,527.0,409.0,3102.0,510.0,1116.0,1329.0,429.0,1053.0,597.0,1305.0,882.0,1453.0,2007.0,336.0,685.0,1940.0,1124.0,870.0,2746.0
3648.0,10100205,2402.0,1356.0,781.0,677.0,4740.0,449.0,748.0,431.0,2398.0,2750.0,4307.0,358.0,4462.0,849.0,4522.0,396.0,786.0,975.0,4780.0,1322.0,1278.0,3885.0,1968.0,1400.0,1742.0,363.0,1070.0,566.0,4420.0,515.0,1309.0,1301.0,406.0,1209.0,575.0,1170.0,967.0,1488.0,2852.0,487.0,684.0,1560.0,1793.0,666.0,2134.0
3604.0,30606708,2051.0,815.0,517.0,810.0,1850.0,228.0,588.0,630.0,2819.0,3999.0,1866.0,209.0,1585.0,2009.0,1858.0,222.0,1001.0,742.0,1903.0,1718.0,2189.0,2185.0,1425.0,2946.0,2879.0,267.0,916.0,347.0,1944.0,309.0,892.0,905.0,338.0,510.0,371.0,876.0,706.0,1546.0,3343.0,204.0,444.0,1147.0,3040.0,1723.0,1782.0
3595.0,10300207,4453.0,1323.0,748.0,528.0,4157.0,354.0,851.0,352.0,2395.0,2799.0,4065.0,355.0,4638.0,711.0,4204.0,316.0,718.0,1055.0,4567.0,1276.0,994.0,4652.0,4372.0,1242.0,1207.0,392.0,698.0,543.0,4114.0,483.0,1346.0,1583.0,442.0,1111.0,628.0,1354.0,862.0,1495.0,2469.0,483.0,774.0,2506.0,1447.0,789.0,3951.0
3563.0,30606706,4073.0,923.0,528.0,633.0,4494.0,333.0,1005.0,535.0,3050.0,3354.0,3831.0,279.0,4020.0,1405.0,4243.0,284.0,923.0,1255.0,4355.0,1341.0,1962.0,4444.0,4354.0,3402.0,3050.0,346.0,805.0,474.0,4039.0,407.0,1411.0,3732.0,304.0,465.0,531.0,1472.0,727.0,1313.0,4389.0,420.0,621.0,4079.0,4048.0,1221.0,4180.0
3465.0,2010073,1233.0,741.0,385.0,297.0,1210.0,159.0,608.0,222.0,1447.0,2427.0,4640.0,208.0,1077.0,555.0,567.0,228.0,376.0,784.0,1351.0,842.0,793.0,1423.0,1354.0,902.0,861.0,343.0,431.0,259.0,1738.0,265.0,650.0,1222.0,383.0,576.0,384.0,1211.0,524.0,846.0,2216.0,135.0,574.0,1375.0,1036.0,524.0,1387.0
3389.0,10100206,4608.0,1529.0,818.0,462.0,4582.0,329.0,757.0,246.0,2245.0,2603.0,3687.0,338.0,4205.0,861.0,4558.0,293.0,528.0,847.0,4594.0,1487.0,1010.0,4828.0,4546.0,719.0,744.0,344.0,406.0,534.0,4478.0,489.0,876.0,1184.0,412.0,1445.0,516.0,1104.0,1038.0,1842.0,1719.0,436.0,627.0,4267.0,894.0,751.0,4363.0
