监测点id,00:00-00:29,00:30-00:59,01:00-10:29,01:30-02:00,02:00-02:30,02:30-03:00,03:00-03:30,03:30-04:00,04:00-04:30,04:30-05:00,2017-05-01 05:00:00-2017-05-01 05:30:00,2017-05-01 05:30:00-2017-05-01 06:00:00,2017-05-01 06:00:00-2017-05-01 06:30:00,2017-05-01 06:30:00-2017-05-01 07:00:00,2017-05-01 07:00:00-2017-05-01 07:30:00,2017-05-01 07:30:00-2017-05-01 08:00:00,2017-05-01 08:00:00-2017-05-01 08:30:00,2017-05-01 08:30:00-2017-05-01 09:00:00,2017-05-01 09:00:00-2017-05-01 09:30:00,2017-05-01 09:30:00-2017-05-01 10:00:00,2017-05-01 10:00:00-2017-05-01 10:30:00,2017-05-01 10:30:00-2017-05-01 11:00:00,2017-05-01 11:00:00-2017-05-01 11:30:00,2017-05-01 11:30:00-2017-05-01 12:00:00,2017-05-01 12:00:00-2017-05-01 12:30:00,2017-05-01 12:30:00-2017-05-01 13:00:00,2017-05-01 13:00:00-2017-05-01 13:30:00,2017-05-01 13:30:00-2017-05-01 14:00:00,2017-05-01 14:00:00-2017-05-01 14:30:00,2017-05-01 14:30:00-2017-05-01 15:00:00,2017-05-01 15:00:00-2017-05-01 15:30:00,2017-05-01 16:00:00-2017-05-01 16:30:00,2017-05-01 16:30:00-2017-05-01 17:00:00,2017-05-01 17:00:00-2017-05-01 17:30:00,2017-05-01 17:30:00-2017-05-01 18:00:00,2017-05-01 18:30:00-2017-05-01 19:00:00,2017-05-01 19:00:00-2017-05-01 19:30:00,2017-05-01 19:30:00-2017-05-01 20:00:00,2017-05-01 20:00:00-2017-05-01 20:30:00,2017-05-01 20:30:00-2017-05-01 21:00:00,2017-05-01 21:00:00-2017-05-01 21:30:00,2017-05-01 21:30:00-2017-05-01 22:00:00,2017-05-01 22:00:00-2017-05-01 22:30:00,2017-05-01 22:30:00-2017-05-01 23:00:00,2017-05-01 23:00:00-2017-05-01 23:30:00,2017-05-01 23:30:00-2017-05-02 00:00:00
10100406,4699,4334,1588,1466,1306,1130,1000,974,788,738,695,755,871,1006,1205,1543,1719,1981,1461,403,354,137,273,523,1593,1217,2055,2228,485,361,314,605,748,733,1374,2908,3701,3748,4200,3726,4492,4197,4276,4766,4725,4396
10100405,2235,2088,1720,1560,1308,1195,1017,939,745,836,763,886,868,1016,1185,1309,1496,1687,2038,2415,2459,2558,2740,2833,2774,2590,2846,3006,3082,3438,3378,3300,3424,3259,3345,3011,2829,2776,3025,2938,3118,3054,2908,2683,2357,2289
10300201,1974,1989,961,863,705,559,508,475,453,435,471,596,723,985,1111,1357,1668,1949,1507,651,794,290,651,1315,2974,2489,3906,4434,1172,807,757,1478,1591,1845,2930,4897,3287,3607,3675,3613,3590,3706,3321,2900,2669,2633
2010133,1760,1553,1300,1202,855,706,535,524,435,424,422,384,332,36,8,5,24,59,134,216,328,1225,877,1634,1990,2282,2319,2177,2393,2302,1982,2395,2430,1851,1921,2060,1480,1558,2299,2364,1808,2082,2120,1987,2105,1919
10200103,1672,1399,1256,1011,835,724,599,555,562,573,605,718,977,1257,1464,1832,1983,2352,2684,3038,3052,3067,3221,3245,2772,2735,3043,3236,3692,3695,3350,3398,3465,3352,3314,2920,2603,2623,2879,2992,3045,2775,2612,2380,2047,1785
10200402,1651,1641,1471,1243,1079,1004,862,823,766,651,634,669,828,889,1039,1250,1559,1638,1857,2221,2467,2357,2426,2379,2251,2182,2359,2595,2653,2814,2533,2542,2588,2467,2535,2224,2028,2145,2238,2393,2541,2408,2261,2056,1809,1603
20204001,1570,1360,1218,1066,968,880,951,797,656,608,567,607,588,701,716,771,966,1078,936,1182,1588,786,1283,2654,1659,1781,1668,1711,1427,1286,1222,2513,2198,1927,2025,1728,602,530,1907,1936,2023,1935,1802,1680,1540,1425
10200104,1527,1208,1032,924,797,629,672,541,495,515,486,575,720,956,1145,1412,1780,2162,2284,2901,2980,3161,3257,3015,2758,2606,2727,2885,2954,3093,3419,3290,3449,3365,3338,2621,2298,2372,2516,2724,2705,2522,2385,2078,1799,1440
10100403,1494,1395,1104,969,802,685,602,477,424,498,366,468,456,612,861,1049,1266,1486,1404,1252,1506,594,941,2002,2397,2023,2368,2694,1838,1480,1114,2195,2138,2284,2762,2394,2225,2375,2424,2498,2545,2387,2245,1976,1588,1489
30606706,1472,1255,1005,621,531,407,304,346,284,279,333,420,474,528,727,465,923,1313,1341,1221,1405,535,633,1962,3354,3050,3563,3831,1411,805,923,3402,3050,4048,4389,4020,4243,4494,4355,4039,4444,4073,4180,4354,4079,3732
10200102,1414,1085,938,801,703,622,648,538,415,483,483,590,782,1045,1169,1379,1564,1993,1961,2691,2659,2754,2836,2701,2428,2349,2564,2682,2803,2931,2983,2873,2930,2881,2919,2499,2162,2244,2434,2551,2570,2464,2066,1819,1518,1298
20100301,1395,1176,1039,817,747,596,506,499,411,412,370,402,516,569,704,890,1103,1331,1658,1938,2081,2187,2306,1945,1933,1853,1869,2124,2360,2388,2406,2520,2575,2548,2407,2231,1966,2045,2093,2150,2211,2206,1951,1761,1541,1263
10300207,1354,1055,851,774,628,483,442,392,316,355,354,483,543,748,862,1111,1323,1495,1276,789,711,352,528,994,2799,2395,3595,4065,1346,698,718,1242,1207,1447,2469,4638,4204,4157,4567,4114,4652,4453,3951,4372,2506,1583
2010132,1308,1193,970,916,785,612,602,564,532,402,397,561,801,1111,1486,1800,1991,2023,1990,2013,1430,1989,2092,2004,1818,1948,2138,2163,2126,2087,2090,2098,2166,2017,1484,2019,1915,1868,1550,1970,1861,1903,1954,1579,1774,1486
10100404,1305,1014,821,685,597,510,429,369,280,257,266,336,409,634,882,1053,1339,1453,1260,870,1093,393,522,1056,2901,2384,3654,3625,1116,527,554,994,1035,1124,2007,3369,2888,3081,2811,3102,3258,3269,2746,3005,1940,1329
10300202,1303,1104,985,786,717,598,513,466,376,431,445,621,754,965,1160,1400,1701,1908,2326,2752,2833,3013,3103,2761,2569,2436,2690,2924,2854,2437,2361,2135,1927,2120,2154,2782,2532,2398,2736,2668,2712,2663,2267,1863,1563,1487
2010131,1260,1018,814,659,569,501,419,363,263,242,252,304,406,575,788,973,1203,1343,1193,1469,2090,953,1392,2938,2335,2225,2062,2259,1912,1644,1542,3092,2833,2545,2831,2546,2369,2382,2307,2473,2555,2485,2187,1773,1603,1310
