监测点id,2017-05-02 00:00:00-2017-05-02 00:30:00,2017-05-02 00:30:00-2017-05-02 01:00:00,2017-05-02 01:00:00-2017-05-02 01:30:00,2017-05-02 01:30:00-2017-05-02 02:00:00,2017-05-02 02:00:00-2017-05-02 02:30:00,2017-05-02 02:30:00-2017-05-02 03:00:00,2017-05-02 03:00:00-2017-05-02 03:30:00,2017-05-02 03:30:00-2017-05-02 04:00:00,2017-05-02 04:00:00-2017-05-02 04:30:00,2017-05-02 04:30:00-2017-05-02 05:00:00,2017-05-02 05:00:00-2017-05-02 05:30:00,2017-05-02 05:30:00-2017-05-02 06:00:00,2017-05-02 06:00:00-2017-05-02 06:30:00,2017-05-02 06:30:00-2017-05-02 07:00:00,2017-05-02 07:00:00-2017-05-02 07:30:00,2017-05-02 09:00:00-2017-05-02 09:30:00,2017-05-02 09:30:00-2017-05-02 10:00:00,2017-05-02 10:00:00-2017-05-02 10:30:00,2017-05-02 10:30:00-2017-05-02 11:00:00,2017-05-02 11:00:00-2017-05-02 11:30:00,2017-05-02 12:30:00-2017-05-02 13:00:00,2017-05-02 13:00:00-2017-05-02 13:30:00,2017-05-02 13:30:00-2017-05-02 14:00:00,2017-05-02 14:00:00-2017-05-02 14:30:00,2017-05-02 14:30:00-2017-05-02 15:00:00,2017-05-02 15:00:00-2017-05-02 15:30:00,2017-05-02 16:00:00-2017-05-02 16:30:00,2017-05-02 16:30:00-2017-05-02 17:00:00,2017-05-02 17:00:00-2017-05-02 17:30:00,2017-05-02 17:30:00-2017-05-02 18:00:00,2017-05-02 18:00:00-2017-05-02 18:30:00,2017-05-02 18:30:00-2017-05-02 19:00:00,2017-05-02 19:00:00-2017-05-02 19:30:00,2017-05-02 19:30:00-2017-05-02 20:00:00,2017-05-02 20:00:00-2017-05-02 20:30:00,2017-05-02 20:30:00-2017-05-02 21:00:00,2017-05-02 21:00:00-2017-05-02 21:30:00,2017-05-02 21:30:00-2017-05-02 22:00:00,2017-05-02 22:00:00-2017-05-02 22:30:00,2017-05-02 22:30:00-2017-05-02 23:00:00,2017-05-02 23:00:00-2017-05-02 23:30:00,2017-05-02 23:30:00-2017-05-03 00:00:00
10100406,4382,4113,3978,3762,2559,2963,3301,2944,2167,2788,650,831,1150,1847,2606,270,145,178,143,193,633,344,375,191,170,124,687,803,534,1254,2115,2782,4101,4588,4604,4770,4945,4935,5043,4822,4555,7276
30606706,3453,2132,965,569,368,270,224,235,210,261,281,470,933,1554,2363,644,405,376,326,430,1720,831,873,497,237,,,,,,,,,,,,,,,,,
30606707,2870,1628,730,434,279,210,182,201,157,226,248,391,885,1706,2474,563,313,282,274,316,1444,800,673,388,201,,,,,,,,,,,,,,,,,
10100405,2212,1757,1406,1101,897,783,678,640,529,812,650,903,1049,1638,2738,3542,3458,3171,2944,2861,2380,2583,3092,3328,3420,3397,3442,3485,3658,3772,3675,3025,2645,2683,2688,2624,2673,2404,2282,1988,1984,2904
10300201,2068,1985,1759,1745,1212,1372,1570,1455,1251,1644,1474,3033,4358,4914,3877,403,240,190,265,295,1225,682,713,353,177,371,1100,1471,1238,2286,5009,4755,3483,3212,3307,3213,3055,2888,2689,2763,2412,3748
30606704,1952,1349,682,451,268,212,154,168,129,174,196,176,655,1372,1509,453,244,221,216,245,1268,623,599,307,121,,,,,,,,,,,,,,,,,
2010133,1674,1779,1241,797,437,350,286,249,272,256,347,416,573,601,251,313,737,1088,1347,1564,1820,2003,1679,2140,2265,2165,2011,2129,2040,2011,1785,1180,1485,1264,1700,1516,1456,1310,1135,1013,853,1276
10200103,1661,1389,1044,749,644,503,490,432,484,618,686,951,1475,2699,3468,3793,3709,3423,3224,2944,2578,2938,3215,3510,3324,3327,3234,3183,3435,3361,3164,2742,2388,2365,2405,2174,2218,1999,1891,1654,1531,2022
10100403,1516,1109,860,700,495,461,373,330,248,422,374,453,580,1163,2262,660,561,536,331,657,2113,1230,1538,518,580,934,1972,2294,1721,3272,4056,3216,2709,2703,2681,2445,2532,2289,2143,1788,1566,2253
10300207,1500,1181,991,751,609,495,467,416,353,480,449,550,825,1592,2341,473,255,275,212,330,1083,674,825,368,216,363,941,1255,917,1686,3729,4429,4745,4800,4633,4741,4653,4468,4144,4137,3965,6341
