监测点id,00:00-00:29,00:30-00:59,01:00-10:29,01:30-02:00,02:00-02:30,02:30-03:00,03:00-03:30,03:30-04:00,04:00-04:30,04:30-05:00,2017-05-01 05:00:00-2017-05-01 05:30:00,2017-05-01 05:30:00-2017-05-01 06:00:00,2017-05-01 06:00:00-2017-05-01 06:30:00,2017-05-01 06:30:00-2017-05-01 07:00:00,2017-05-01 07:00:00-2017-05-01 07:30:00,2017-05-01 07:30:00-2017-05-01 08:00:00,2017-05-01 08:00:00-2017-05-01 08:30:00,2017-05-01 08:30:00-2017-05-01 09:00:00,2017-05-01 09:00:00-2017-05-01 09:30:00,2017-05-01 09:30:00-2017-05-01 10:00:00,2017-05-01 10:00:00-2017-05-01 10:30:00,2017-05-01 10:30:00-2017-05-01 11:00:00,2017-05-01 11:00:00-2017-05-01 11:30:00,2017-05-01 11:30:00-2017-05-01 12:00:00,2017-05-01 12:00:00-2017-05-01 12:30:00,2017-05-01 12:30:00-2017-05-01 13:00:00,2017-05-01 13:00:00-2017-05-01 13:30:00,2017-05-01 13:30:00-2017-05-01 14:00:00,2017-05-01 14:00:00-2017-05-01 14:30:00,2017-05-01 14:30:00-2017-05-01 15:00:00,2017-05-01 15:00:00-2017-05-01 15:30:00,2017-05-01 16:00:00-2017-05-01 16:30:00,2017-05-01 16:30:00-2017-05-01 17:00:00,2017-05-01 17:00:00-2017-05-01 17:30:00,2017-05-01 17:30:00-2017-05-01 18:00:00,2017-05-01 18:30:00-2017-05-01 19:00:00,2017-05-01 19:00:00-2017-05-01 19:30:00,2017-05-01 19:30:00-2017-05-01 20:00:00,2017-05-01 20:00:00-2017-05-01 20:30:00,2017-05-01 20:30:00-2017-05-01 21:00:00,2017-05-01 21:00:00-2017-05-01 21:30:00,2017-05-01 21:30:00-2017-05-01 22:00:00,2017-05-01 22:00:00-2017-05-01 22:30:00,2017-05-01 22:30:00-2017-05-01 23:00:00,2017-05-01 23:00:00-2017-05-01 23:30:00,2017-05-01 23:30:00-2017-05-02 00:00:00
10100406,4699.0,4334.0,1588.0,1466.0,1306.0,1130.0,1000.0,974.0,788.0,738.0,695.0,755.0,871.0,1006.0,1205.0,1543.0,1719.0,1981.0,1461.0,403.0,354.0,137.0,273.0,523.0,1593.0,1217.0,2055.0,2228.0,485.0,361.0,314.0,605.0,748.0,733.0,1374.0,2908.0,3701.0,3748.0,4200.0,3726.0,4492.0,4197.0,4276.0,4766.0,4725.0,4396.0
10100405,2235.0,2088.0,1720.0,1560.0,1308.0,1195.0,1017.0,939.0,745.0,836.0,763.0,886.0,868.0,1016.0,1185.0,1309.0,1496.0,1687.0,2038.0,2415.0,2459.0,2558.0,2740.0,2833.0,2774.0,2590.0,2846.0,3006.0,3082.0,3438.0,3378.0,3300.0,3424.0,3259.0,3345.0,3011.0,2829.0,2776.0,3025.0,2938.0,3118.0,3054.0,2908.0,2683.0,2357.0,2289.0
10300201,1974.0,1989.0,961.0,863.0,705.0,559.0,508.0,475.0,453.0,435.0,471.0,596.0,723.0,985.0,1111.0,1357.0,1668.0,1949.0,1507.0,651.0,794.0,290.0,651.0,1315.0,2974.0,2489.0,3906.0,4434.0,1172.0,807.0,757.0,1478.0,1591.0,1845.0,2930.0,4897.0,3287.0,3607.0,3675.0,3613.0,3590.0,3706.0,3321.0,2900.0,2669.0,2633.0
2010133,1760.0,1553.0,1300.0,1202.0,855.0,706.0,535.0,524.0,435.0,424.0,422.0,384.0,332.0,36.0,8.0,5.0,24.0,59.0,134.0,216.0,328.0,1225.0,877.0,1634.0,1990.0,2282.0,2319.0,2177.0,2393.0,2302.0,1982.0,2395.0,2430.0,1851.0,1921.0,2060.0,1480.0,1558.0,2299.0,2364.0,1808.0,2082.0,2120.0,1987.0,2105.0,1919.0
10200103,1672.0,1399.0,1256.0,1011.0,835.0,724.0,599.0,555.0,562.0,573.0,605.0,718.0,977.0,1257.0,1464.0,1832.0,1983.0,2352.0,2684.0,3038.0,3052.0,3067.0,3221.0,3245.0,2772.0,2735.0,3043.0,3236.0,3692.0,3695.0,3350.0,3398.0,3465.0,3352.0,3314.0,2920.0,2603.0,2623.0,2879.0,2992.0,3045.0,2775.0,2612.0,2380.0,2047.0,1785.0
10200402,1651.0,1641.0,1471.0,1243.0,1079.0,1004.0,862.0,823.0,766.0,651.0,634.0,669.0,828.0,889.0,1039.0,1250.0,1559.0,1638.0,1857.0,2221.0,2467.0,2357.0,2426.0,2379.0,2251.0,2182.0,2359.0,2595.0,2653.0,2814.0,2533.0,2542.0,2588.0,2467.0,2535.0,2224.0,2028.0,2145.0,2238.0,2393.0,2541.0,2408.0,2261.0,2056.0,1809.0,1603.0
20204001,1570.0,1360.0,1218.0,1066.0,968.0,880.0,951.0,797.0,656.0,608.0,567.0,607.0,588.0,701.0,716.0,771.0,966.0,1078.0,936.0,1182.0,1588.0,786.0,1283.0,2654.0,1659.0,1781.0,1668.0,1711.0,1427.0,1286.0,1222.0,2513.0,2198.0,1927.0,2025.0,1728.0,602.0,530.0,1907.0,1936.0,2023.0,1935.0,1802.0,1680.0,1540.0,1425.0
10200104,1527.0,1208.0,1032.0,924.0,797.0,629.0,672.0,541.0,495.0,515.0,486.0,575.0,720.0,956.0,1145.0,1412.0,1780.0,2162.0,2284.0,2901.0,2980.0,3161.0,3257.0,3015.0,2758.0,2606.0,2727.0,2885.0,2954.0,3093.0,3419.0,3290.0,3449.0,3365.0,3338.0,2621.0,2298.0,2372.0,2516.0,2724.0,2705.0,2522.0,2385.0,2078.0,1799.0,1440.0
10100403,1494.0,1395.0,1104.0,969.0,802.0,685.0,602.0,477.0,424.0,498.0,366.0,468.0,456.0,612.0,861.0,1049.0,1266.0,1486.0,1404.0,1252.0,1506.0,594.0,941.0,2002.0,2397.0,2023.0,2368.0,2694.0,1838.0,1480.0,1114.0,2195.0,2138.0,2284.0,2762.0,2394.0,2225.0,2375.0,2424.0,2498.0,2545.0,2387.0,2245.0,1976.0,1588.0,1489.0
30606706,1472.0,1255.0,1005.0,621.0,531.0,407.0,304.0,346.0,284.0,279.0,333.0,420.0,474.0,528.0,727.0,465.0,923.0,1313.0,1341.0,1221.0,1405.0,535.0,633.0,1962.0,3354.0,3050.0,3563.0,3831.0,1411.0,805.0,923.0,3402.0,3050.0,4048.0,4389.0,4020.0,4243.0,4494.0,4355.0,4039.0,4444.0,4073.0,4180.0,4354.0,4079.0,3732.0
