监测点id,方向,卡口经度,卡口纬度,2017-05-04 00:00:00-2017-05-04 00:30:00,2017-05-04 00:30:00-2017-05-04 01:00:00,2017-05-04 01:00:00-2017-05-04 01:30:00,2017-05-04 01:30:00-2017-05-04 02:00:00,2017-05-04 02:00:00-2017-05-04 02:30:00,2017-05-04 02:30:00-2017-05-04 03:00:00,2017-05-04 03:00:00-2017-05-04 03:30:00,2017-05-04 03:30:00-2017-05-04 04:00:00,2017-05-04 04:00:00-2017-05-04 04:30:00,2017-05-04 04:30:00-2017-05-04 05:00:00,2017-05-04 05:00:00-2017-05-04 05:30:00,2017-05-04 05:30:00-2017-05-04 06:00:00,2017-05-04 06:00:00-2017-05-04 06:30:00,2017-05-04 06:30:00-2017-05-04 07:00:00,2017-05-04 07:00:00-2017-05-04 07:30:00,2017-05-04 07:30:00-2017-05-04 08:00:00,2017-05-04 08:00:00-2017-05-04 08:30:00,2017-05-04 08:30:00-2017-05-04 09:00:00,2017-05-04 09:00:00-2017-05-04 09:30:00,2017-05-04 09:30:00-2017-05-04 10:00:00,2017-05-04 10:00:00-2017-05-04 10:30:00,2017-05-04 10:30:00-2017-05-04 11:00:00,2017-05-04 11:00:00-2017-05-04 11:30:00,2017-05-04 11:30:00-2017-05-04 12:00:00,2017-05-04 12:00:00-2017-05-04 12:30:00,2017-05-04 12:30:00-2017-05-04 13:00:00,2017-05-04 13:00:00-2017-05-04 13:30:00,2017-05-04 13:30:00-2017-05-04 14:00:00,2017-05-04 14:00:00-2017-05-04 14:30:00,2017-05-04 14:30:00-2017-05-04 15:00:00,2017-05-04 15:00:00-2017-05-04 15:30:00,2017-05-04 15:30:00-2017-05-04 16:00:00,2017-05-04 16:00:00-2017-05-04 16:30:00,2017-05-04 16:30:00-2017-05-04 17:00:00,2017-05-04 17:30:00-2017-05-04 18:00:00,2017-05-04 18:00:00-2017-05-04 18:30:00,2017-05-04 18:30:00-2017-05-04 19:00:00,2017-05-04 19:00:00-2017-05-04 19:30:00,2017-05-04 19:30:00-2017-05-04 20:00:00,2017-05-04 20:00:00-2017-05-04 20:30:00,2017-05-04 20:30:00-2017-05-04 21:00:00,2017-05-04 21:00:00-2017-05-04 21:30:00,2017-05-04 21:30:00-2017-05-04 22:00:00,2017-05-04 22:00:00-2017-05-04 22:30:00,2017-05-04 22:30:00-2017-05-04 23:00:00,2017-05-04 23:00:00-2017-05-04 23:30:00,2017-05-04 23:30:00-2017-05-05 00:00:00
2010089,南行,114.09695,22.55633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010091,西行,114.08656,22.55312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100612,西往东,114.062967,22.543058,448.0,456.0,241.0,177.0,166.0,147.0,119.0,112.0,89.0,71.0,66.0,74.0,96.0,226.0,720.0,1315.0,1375.0,1338.0,939.0,992.0,1171.0,1098.0,1063.0,1096.0,928.0,846.0,805.0,1068.0,1228.0,1223.0,241.0,0.0,0.0,0.0,524.0,5648.0,2595.0,897.0,796.0,781.0,767.0,784.0,678.0,682.0,535.0,478.0,400.0
2010003,北行,114.069167,22.542778,188.0,217.0,168.0,90.0,73.0,83.0,75.0,57.0,43.0,39.0,34.0,39.0,78.0,154.0,479.0,1134.0,1472.0,1299.0,549.0,675.0,602.0,840.0,681.0,723.0,646.0,569.0,611.0,774.0,922.0,981.0,175.0,0.0,0.0,0.0,615.0,5095.0,2120.0,800.0,680.0,571.0,604.0,619.0,532.0,453.0,383.0,313.0,265.0
2010003,西行,114.069167,22.542778,188.0,217.0,168.0,90.0,73.0,83.0,75.0,57.0,43.0,39.0,34.0,39.0,78.0,154.0,479.0,1134.0,1472.0,1299.0,549.0,675.0,602.0,840.0,681.0,723.0,646.0,569.0,611.0,774.0,922.0,981.0,175.0,0.0,0.0,0.0,615.0,5095.0,2120.0,800.0,680.0,571.0,604.0,619.0,532.0,453.0,383.0,313.0,265.0
10107802,东往西,114.047958,22.518469,243.0,225.0,152.0,160.0,140.0,129.0,103.0,67.0,87.0,70.0,61.0,85.0,119.0,281.0,488.0,618.0,535.0,533.0,470.0,430.0,470.0,521.0,517.0,500.0,496.0,385.0,404.0,515.0,508.0,514.0,92.0,0.0,0.0,0.0,301.0,2834.0,1265.0,475.0,478.0,601.0,564.0,521.0,507.0,467.0,381.0,314.0,239.0
20104404,西往东,114.039547,22.593369,426.0,387.0,310.0,294.0,282.0,242.0,245.0,252.0,241.0,224.0,279.0,364.0,508.0,690.0,1234.0,1072.0,1107.0,1124.0,800.0,755.0,1074.0,967.0,883.0,1148.0,903.0,981.0,1029.0,1107.0,608.0,1052.0,779.0,1273.0,1298.0,1172.0,1135.0,1375.0,1310.0,882.0,735.0,1022.0,1012.0,997.0,935.0,907.0,794.0,655.0,579.0
20101816,北往南,114.018817,22.525639,474.0,424.0,347.0,290.0,231.0,195.0,163.0,135.0,116.0,82.0,99.0,168.0,323.0,548.0,830.0,1368.0,850.0,0.0,0.0,515.0,677.0,972.0,954.0,1052.0,1035.0,976.0,1181.0,1044.0,399.0,53.0,40.0,68.0,152.0,482.0,800.0,1908.0,1889.0,2176.0,1917.0,853.0,933.0,832.0,726.0,848.0,641.0,602.0,522.0
2010034,东行,114.026839,22.546064,122.0,90.0,73.0,59.0,47.0,33.0,29.0,41.0,19.0,17.0,13.0,20.0,43.0,129.0,467.0,623.0,581.0,690.0,428.0,429.0,531.0,510.0,480.0,570.0,509.0,403.0,416.0,541.0,634.0,558.0,129.0,0.0,0.0,0.0,311.0,3135.0,1612.0,644.0,463.0,454.0,422.0,390.0,327.0,278.0,228.0,172.0,131.0
10101001,东往西,114.071097,22.558264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,1464.0,1507.0,202.0,0.0,0.0,105.0,3375.0,4540.0,3326.0,3993.0,959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1339.0,2276.0,8130.0,4463.0,593.0,474.0,359.0,323.0
10100606,西往东,114.078106,22.543231,13.0,13.0,9.0,10.0,5.0,5.0,5.0,4.0,5.0,2.0,6.0,3.0,1.0,5.0,14.0,26.0,34.0,42.0,21.0,646.0,1352.0,1455.0,1398.0,1306.0,1304.0,1193.0,1256.0,1420.0,1592.0,1546.0,331.0,0.0,0.0,0.0,686.0,6975.0,3394.0,1495.0,1029.0,982.0,1009.0,1097.0,923.0,917.0,866.0,727.0,663.0
10101302,南往北,114.091236,22.549044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,310.0,637.0,9.0,0.0,0.0,21.0,325.0,341.0,353.0,401.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,509.0,471.0,375.0,348.0,295.0,290.0,184.0
2010006,北行,114.06,22.578056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010093,东行,114.08481,22.55563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010097,东行,114.09221,22.54919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101004,西往东,114.094269,22.558394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1366.0,3194.0,10825.0,34.0,0.0,0.0,236.0,2195.0,548.0,502.0,562.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1423.0,7875.0,1049.0,709.0,677.0,516.0,487.0,414.0
10100603,东往西,114.011211,22.537544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.0,1995.0,6307.0,201.0,0.0,0.0,165.0,3147.0,3354.0,3152.0,3619.0,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1749.0,5290.0,6697.0,7161.0,4642.0,627.0,546.0,449.0
2010087,北行,114.08148,22.56049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101002,西往东,114.062408,22.558586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,3.0,108.0,249.0,218.0,175.0,196.0,155.0,131.0,105.0,72.0,236.0,263.0,55.0,0.0,0.0,0.0,125.0,1050.0,60.0,55.0,42.0,25.0,29.0,34.0,34.0,22.0,21.0,7.0,5.0
10100203,东往西,114.070733,22.569694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010092,西行,114.08481,22.55563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010094,南行,114.09915,22.55808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010088,西行,114.08113,22.55886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010090,北行,114.09695,22.55633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010005,北行,114.060278,22.5775,157.0,144.0,98.0,79.0,77.0,71.0,59.0,42.0,35.0,36.0,40.0,52.0,95.0,109.0,183.0,273.0,347.0,331.0,267.0,267.0,286.0,313.0,315.0,331.0,343.0,306.0,274.0,285.0,331.0,375.0,87.0,0.0,0.0,0.0,264.0,2606.0,1229.0,403.0,462.0,481.0,401.0,454.0,419.0,397.0,337.0,260.0,215.0
10100210,西往东,114.006578,22.557022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101301,北往南,114.091069,22.555872,139.0,122.0,89.0,68.0,50.0,57.0,40.0,31.0,34.0,49.0,49.0,56.0,108.0,267.0,678.0,784.0,635.0,782.0,512.0,506.0,602.0,611.0,563.0,467.0,411.0,395.0,450.0,566.0,687.0,692.0,135.0,0.0,0.0,0.0,288.0,2535.0,1051.0,366.0,329.0,338.0,355.0,403.0,268.0,251.0,171.0,145.0,160.0
10100604,西往东,114.011211,22.537544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,797.0,1338.0,3116.0,74.0,0.0,0.0,92.0,1777.0,1824.0,1637.0,1872.0,394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1438.0,3597.0,3650.0,3604.0,3683.0,3547.0,3571.0,3493.0
10100204,西往东,114.059964,22.567103,1112.0,915.0,754.0,640.0,560.0,489.0,415.0,354.0,333.0,357.0,354.0,529.0,834.0,1582.0,3231.0,3399.0,2839.0,3341.0,2091.0,1908.0,2542.0,2662.0,2849.0,2765.0,3495.0,2410.0,2544.0,2827.0,1375.0,850.0,718.0,950.0,1215.0,1669.0,2624.0,4980.0,5454.0,5281.0,5051.0,2471.0,2472.0,2592.0,2385.0,2179.0,1954.0,1517.0,1225.0
2010102,东行,114.09012,22.54922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100403,东往西,114.02785,22.531014,1321.0,1066.0,813.0,631.0,477.0,470.0,384.0,347.0,333.0,390.0,375.0,426.0,620.0,996.0,1950.0,3913.0,4859.0,1193.0,0.0,0.0,0.0,0.0,0.0,0.0,385.0,2330.0,2601.0,2952.0,1716.0,1775.0,1547.0,2255.0,2407.0,2470.0,3043.0,3909.0,3412.0,2765.0,2787.0,2547.0,2550.0,2597.0,2409.0,2250.0,1820.0,1534.0,1449.0
2010021,北行,114.047325,22.590994,277.0,242.0,173.0,154.0,157.0,116.0,101.0,87.0,69.0,73.0,75.0,111.0,253.0,284.0,385.0,561.0,687.0,597.0,515.0,308.0,540.0,607.0,552.0,642.0,564.0,527.0,532.0,538.0,625.0,827.0,839.0,1101.0,1027.0,913.0,946.0,795.0,800.0,690.0,735.0,787.0,689.0,704.0,690.0,595.0,543.0,410.0,335.0
2010100,南行,114.08799,22.54855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010103,西行,114.09081,22.54729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010020,北行,114.059089,22.580614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2565.0,1919.0,35.0,0.0,0.0,0.0,153.0,3045.0,511.0,520.0,507.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3451.0,6105.0,697.0,683.0,598.0,540.0,410.0,338.0
20104605,南往北,114.044289,22.537169,776.0,688.0,429.0,377.0,389.0,294.0,239.0,209.0,182.0,167.0,198.0,308.0,556.0,977.0,1723.0,2151.0,1943.0,2079.0,1225.0,1406.0,1686.0,1413.0,1633.0,1597.0,1428.0,1477.0,1729.0,1775.0,1907.0,1899.0,376.0,0.0,0.0,0.0,1077.0,9654.0,4572.0,1708.0,1738.0,1771.0,1798.0,1830.0,1737.0,1527.0,1351.0,1045.0,861.0
20101817,北往南,114.037122,22.515494,240.0,228.0,178.0,136.0,120.0,112.0,91.0,81.0,51.0,49.0,55.0,88.0,167.0,317.0,439.0,642.0,822.0,880.0,361.0,319.0,484.0,715.0,690.0,728.0,790.0,643.0,762.0,605.0,250.0,51.0,24.0,24.0,99.0,320.0,498.0,1187.0,1287.0,1324.0,1194.0,510.0,568.0,515.0,432.0,528.0,369.0,364.0,290.0
10103501,北往南,114.044289,22.537169,440.0,343.0,311.0,239.0,194.0,156.0,135.0,117.0,106.0,114.0,126.0,201.0,327.0,481.0,855.0,1480.0,1566.0,1656.0,1077.0,958.0,1267.0,1256.0,1199.0,1141.0,1041.0,859.0,857.0,1071.0,1239.0,1243.0,259.0,0.0,0.0,0.0,745.0,7011.0,2946.0,1087.0,938.0,885.0,943.0,931.0,894.0,763.0,627.0,526.0,444.0
10107701,西往东,114.044289,22.537169,107.0,84.0,68.0,73.0,47.0,43.0,47.0,53.0,33.0,23.0,35.0,40.0,125.0,270.0,411.0,534.0,435.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,1687.0,861.0,345.0,286.0,286.0,303.0,293.0,279.0,242.0,204.0,162.0,129.0
20101813,南往北,114.001756,22.544686,305.0,271.0,177.0,151.0,108.0,108.0,78.0,100.0,132.0,158.0,253.0,331.0,471.0,573.0,754.0,1253.0,838.0,0.0,0.0,477.0,1215.0,1164.0,1200.0,1219.0,1167.0,1199.0,1317.0,1485.0,974.0,1132.0,892.0,1314.0,1466.0,1834.0,1967.0,2209.0,1853.0,1323.0,1200.0,1114.0,1088.0,1120.0,1193.0,1537.0,560.0,488.0,409.0
2010125,南行,114.046982,22.590212,183.0,127.0,96.0,82.0,69.0,56.0,51.0,27.0,35.0,25.0,49.0,86.0,202.0,636.0,1841.0,1273.0,1294.0,1570.0,570.0,878.0,1037.0,738.0,562.0,448.0,431.0,410.0,517.0,642.0,608.0,617.0,129.0,0.0,0.0,0.0,341.0,2772.0,1196.0,359.0,389.0,347.0,309.0,308.0,283.0,286.0,246.0,263.0,228.0
10107702,东往西,114.044289,22.537169,114.0,73.0,76.0,64.0,78.0,57.0,71.0,54.0,45.0,55.0,35.0,52.0,77.0,173.0,267.0,344.0,292.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,1627.0,835.0,333.0,302.0,249.0,284.0,251.0,251.0,231.0,205.0,157.0,120.0
2010035,西行,114.026839,22.546064,142.0,117.0,105.0,66.0,62.0,60.0,53.0,30.0,28.0,25.0,33.0,42.0,48.0,132.0,346.0,653.0,537.0,550.0,343.0,379.0,455.0,435.0,405.0,464.0,409.0,350.0,359.0,411.0,513.0,498.0,104.0,0.0,0.0,0.0,380.0,3380.0,1494.0,467.0,477.0,526.0,425.0,388.0,363.0,321.0,291.0,189.0,151.0
2010110,东行,114.08638,22.55809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010131,西往东,114.026076,22.534194,935.0,721.0,646.0,519.0,434.0,309.0,238.0,253.0,200.0,176.0,236.0,273.0,508.0,937.0,2003.0,3470.0,3652.0,908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2283.0,2791.0,2170.0,2640.0,2303.0,3507.0,3366.0,2971.0,3362.0,3534.0,3295.0,2561.0,2368.0,2300.0,2219.0,2298.0,2188.0,1913.0,1569.0,1344.0,1051.0
2010140,东行,114.076925,22.52203,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,857.0,662.0,290.0,275.0,256.0,260.0,228.0,239.0,187.0,146.0,126.0,104.0
2010085,西行,114.07543,22.55168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010002,西行,114.070278,22.542778,187.0,220.0,164.0,89.0,75.0,83.0,75.0,54.0,43.0,37.0,33.0,39.0,78.0,153.0,479.0,1133.0,1472.0,1297.0,782.0,717.0,777.0,885.0,765.0,782.0,629.0,555.0,615.0,776.0,916.0,987.0,168.0,0.0,0.0,0.0,583.0,5154.0,2141.0,801.0,671.0,575.0,608.0,629.0,517.0,444.0,380.0,310.0,265.0
20104606,北行,114.013408,22.590289,313.0,253.0,174.0,128.0,191.0,110.0,114.0,74.0,58.0,54.0,73.0,112.0,271.0,435.0,777.0,921.0,681.0,801.0,369.0,375.0,702.0,618.0,641.0,655.0,528.0,614.0,709.0,723.0,761.0,787.0,164.0,0.0,0.0,0.0,442.0,4046.0,1990.0,749.0,713.0,753.0,757.0,767.0,803.0,683.0,606.0,470.0,353.0
2010007,北行,114.06,22.578333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010004,南行,114.070556,22.542778,181.0,217.0,166.0,88.0,72.0,80.0,75.0,52.0,43.0,39.0,36.0,38.0,73.0,150.0,473.0,1127.0,1480.0,1293.0,655.0,711.0,749.0,867.0,771.0,759.0,631.0,568.0,603.0,775.0,908.0,985.0,171.0,0.0,0.0,0.0,586.0,4984.0,2173.0,798.0,678.0,568.0,604.0,617.0,517.0,453.0,374.0,301.0,260.0
2010004,西行,114.070556,22.542778,181.0,217.0,166.0,88.0,72.0,80.0,75.0,52.0,43.0,39.0,36.0,38.0,73.0,150.0,473.0,1127.0,1480.0,1293.0,655.0,711.0,749.0,867.0,771.0,759.0,631.0,568.0,603.0,775.0,908.0,985.0,171.0,0.0,0.0,0.0,586.0,4984.0,2173.0,798.0,678.0,568.0,604.0,617.0,517.0,453.0,374.0,301.0,260.0
2010099,西行,114.08937,22.55161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010101,东行,114.07691,22.54695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100211,东往西,114.006578,22.557022,1027.0,974.0,939.0,924.0,1045.0,1133.0,1353.0,1289.0,1460.0,1160.0,1107.0,1029.0,942.0,1462.0,2924.0,3798.0,3716.0,2986.0,2136.0,2017.0,2227.0,2355.0,2069.0,2157.0,2150.0,2129.0,2257.0,2772.0,1982.0,2203.0,1988.0,2688.0,3083.0,3276.0,3477.0,3019.0,2497.0,2041.0,2020.0,2070.0,1985.0,2020.0,1969.0,1828.0,1615.0,1223.0,1106.0
2010096,西行,114.09221,22.54919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010098,西行,114.08325,22.55179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010106,北行,114.08409,22.55122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010109,北行,114.08792,22.55052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010095,东行,114.09068,22.55418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20104607,北往南,114.012122,22.567686,486.0,368.0,312.0,291.0,221.0,188.0,132.0,142.0,144.0,190.0,185.0,284.0,629.0,1401.0,2054.0,2019.0,1862.0,1956.0,1156.0,1565.0,1855.0,1696.0,1432.0,1337.0,1262.0,1374.0,1540.0,1896.0,1708.0,1845.0,322.0,0.0,0.0,0.0,941.0,8418.0,3999.0,1466.0,1414.0,1297.0,1179.0,1195.0,1008.0,1005.0,850.0,749.0,578.0
