车牌号id1,车牌号id2,车牌类型1,车牌类型2,号牌种类,识别时间,上传时间,监测点id,进出口类型,车道id,车身颜色,车辆类型,车标,信息卡编码,违法类型,速度,前端id,行驶方向,图片张数,图片id1,图片id2,图片id3,图片id4,图片id5,前牌是否完成,后牌是否完成,前后牌是否一致,置信度,补传标志,方波长度,分区号,视频URL,保留字段,备用字段1,备用字段2,备用字段3
粤M|a4c149c58c0393ae3dbdbac58b8d9262,,2,0,,2017-05-01 15:22:21,2017-05-01 15:26:13,10300201,0,3,,,,,,35.00,,,2,20170501152221481030020131_8,20170501152221561030020132_8,,,,1,0,1,666,0,0,1,,Uf,,,
粤B|f7476b3bf8d5c7ceb118f1988caaec4c,,0,0,,2017-05-01 15:24:38,2017-05-01 15:26:13,02010036,0,3,,,,,,-1.00,,,2,20170501152438000201003631_8,20170501152438000201003632_8,,,,1,0,1,94,0,0,1,,Uf,,,
粤B|6c7a2d911e5ad97561a69baefe9bdadb,,0,0,,2017-05-01 15:22:03,2017-05-01 15:26:13,20602405,0,2,,,,,,63.53,,,2,20170501152203192060240521_8,20170501152203192060240522_8,,,,1,0,1,687,0,0,1,,Uf,,,
粤P|fc962e287f636ac27903eef514934cc7,,2,0,,2017-05-01 15:22:38,2017-05-01 15:26:13,30606702,0,4,,,,,,52.00,,,2,20170501152238403060670241_8,20170501152238403060670242_8,,,,1,0,1,93,0,0,1,,Uf,,,
粤S|5950fce49740d16d268cd2b633e60bc0,,0,0,,2017-05-01 15:22:19,2017-05-01 15:26:13,20602405,0,3,,,,,,0.00,,,2,20170501152219442060240531_8,20170501152219442060240532_8,,,,1,0,1,674,1,0,1,,Uf,,,
粤B|44107b5fa1f8e815b9df0f9823c1ba54,,0,0,,2017-05-01 15:21:44,2017-05-01 15:26:14,20501805,0,1,,,,,,0.00,,,2,20170501152144612050180511_8,20170501152144652050180512_8,,,,1,0,1,97,0,0,1,,Uf,,,
粤B|a075a54407c5a50fff60197023e597aa,,0,0,,2017-05-01 15:23:23,2017-05-01 15:26:14,02010050,0,2,,,,,,-1.00,,,2,20170501152323000201005021_8,20170501152323000201005022_8,,,,1,0,1,97,1,0,1,,Uf,,,
粤B|cf63ec428ac12ef2d58d4af369cd3112,,0,0,,2017-05-01 15:25:57,2017-05-01 15:26:14,02010048,0,2,,,,,,-1.00,,,2,20170501152557000201004821_8,20170501152557000201004822_8,,,,1,0,1,95,0,0,1,,Uf,,,
粤B|a641b1e0f75a87109a6d43a92e780a4a,,0,0,,2017-05-01 15:26:07,2017-05-01 15:26:14,02010052,0,2,,,,,,-1.00,,,2,20170501152607000201005221_8,20170501152607000201005222_8,,,,1,0,1,98,0,0,1,,Uf,,,
粤B|6b251b799df1060589269d88656141a1,,0,0,,2017-05-01 15:26:08,2017-05-01 15:26:14,30606709,0,3,,,,,,-1.00,,,2,20170501152608093060670931_8,20170501152608093060670932_8,,,,1,0,0,100,0,0,1,,Uf,,,
粤S|114c97f8d30ea7ac75c2f4dc7f57bf44,,2,0,,2017-05-01 15:23:02,2017-05-01 15:26:14,20507401,0,6,,,,,,61.00,,,2,20170501152302482050740161_8,20170501152302482050740162_8,,,,1,0,1,91,1,0,1,,Uf,,,
粤B|9c5366ae9fd634be8ae83b980f56b000,,0,0,,2017-05-01 15:24:29,2017-05-01 15:26:14,10300207,0,1,,,,,,81.00,,,2,20170501152429101030020711_8,20170501152429181030020712_8,,,,1,0,1,97,0,0,1,,Uf,,,
粤B|70d5c14581d65bde61786bc2e76640a4,,0,0,,2017-05-01 15:22:38,2017-05-01 15:26:14,10100211,0,3,,,,,,69.00,,,2,20170501152238001010021131_8,20170501152238001010021132_8,,,,1,0,1,97,0,0,1,,Uf,,,
粤B|f4922fa4b0bc052b99922d6bbe168f4c,,0,0,,2017-05-01 15:26:07,2017-05-01 15:26:14,20504603,0,1,,,,,,109.00,,,2,20170501152607002050460311_8,20170501152607002050460312_8,,,,1,0,1,95,0,0,1,,Uf,,,
粤B|ce9b92781b6ee29cb14cbc3631184017,,0,0,,2017-05-01 15:23:20,2017-05-01 15:26:14,02010037,0,1,,,,,,-1.00,,,2,20170501152320000201003711_8,20170501152320000201003712_8,,,,1,0,1,95,0,0,1,,Uf,,,
粤B|bbae683c402d6ab7f4db3027de3441e4,,0,0,,2017-05-01 15:23:27,2017-05-01 15:26:14,02010037,0,1,,,,,,-1.00,,,2,20170501152327000201003711_8,20170501152327000201003712_8,,,,1,0,1,96,0,0,1,,Uf,,,
鄂H|7012cf2d8c6cc079e82a83a4565be21f,,0,0,,2017-05-01 15:24:21,2017-05-01 15:26:14,02010040,0,1,,,,,,-1.00,,,2,20170501152421000201004011_8,20170501152421000201004012_8,,,,1,0,1,94,0,0,1,,Uf,,,
粤S|ef2f72960c6f8538e37dd49a084541c9,,0,0,,2017-05-01 15:21:58,2017-05-01 15:26:14,20400801,0,2,,,,,,-1.00,,,2,20170501152158002040080121_8,20170501152158002040080122_8,,,,1,0,1,98,0,0,1,,Uf,,,
粤B|d63cc0872af46da75391a1f4f5ef78b1,,0,0,,2017-05-01 15:23:37,2017-05-01 15:26:14,20602405,0,3,,,,,,100.00,,,2,20170501152337682060240531_8,20170501152337682060240532_8,,,,1,0,1,98,0,0,1,,Uf,,,
粤L|b5597b4f1d29f80b04a8bae03c95d0be,,0,0,,2017-05-01 15:25:50,2017-05-01 15:26:14,30606704,0,4,,,,,,-1.00,,,2,20170501152550973060670441_8,20170501152550973060670442_8,,,,1,0,0,100,0,0,1,,Uf,,,
粤B|b1ebd5f5e7ae22730dde969968412b04,,0,0,,2017-05-01 15:26:11,2017-05-01 15:26:14,20501803,0,3,,,,,,0.00,,,2,20170501152611002050180331_8,20170501152611002050180332_8,,,,1,0,1,95,0,0,1,,Uf,,,
粤C|89e944521326774b02080f52535f0c98,,2,0,,2017-05-01 15:23:44,2017-05-01 15:26:14,20507401,0,6,,,,,,55.00,,,2,20170501152344082050740161_8,20170501152344082050740162_8,,,,1,0,1,97,1,0,1,,Uf,,,
粤B|212e1277ee611980040238f5c0e6c65d,,0,0,,2017-05-01 15:24:26,2017-05-01 15:26:15,02010043,0,2,,,,,,-1.00,,,2,20170501152426000201004321_8,20170501152426000201004322_8,,,,1,0,1,96,0,0,1,,Uf,,,
粤E|b03ee364abcc3dd75b8527d205a42b34,,0,0,,2017-05-01 15:23:01,2017-05-01 15:26:15,20501809,0,2,,,,,,58.02,,,2,20170501152301252050180921_8,20170501152301252050180922_8,,,,1,0,1,660,0,0,1,,Uf,,,
