车牌号id1,车牌号id2,车牌类型1,车牌类型2,号牌种类,识别时间,上传时间,监测点id,进出口类型,车道id,车身颜色,车辆类型,车标,信息卡编码,违法类型,速度,前端id,行驶方向,图片张数,图片id1,图片id2,图片id3,图片id4,图片id5,前牌是否完成,后牌是否完成,前后牌是否一致,置信度,补传标志,方波长度,分区号,视频URL,保留字段,备用字段1,备用字段2,备用字段3
﻿车牌号id1,车牌号id2,车牌类型1,车牌类型2,号牌种类,识别时间,上传时间,监测点id,进出口类型,车道id,车身颜色,车辆类型,车标,信息卡编码,违法类型,速度,前端id,行驶方向,图片张数,图片id1,图片id2,图片id3,图片id4,图片id5,前牌是否完成,后牌是否完成,前后牌是否一致,置信度,补传标志,方波长度,分区号,视频URL,保留字段,备用字段1,备用字段2,备用字段3
粤R|6e94656edfd4ec2deacb88f175135f8c,,0,0,,2017-05-02 00:01:44,2017-05-02 00:01:48,10300202,0,3,,,0,,,55.00,113,,0,pic?=d06i427545aa3=t5-0m*=01p5i=d1s*i1d87*7d0=*1bfi532325fc54b12--ap33b5i111ae94-a3620cd0_113,pic?=d06i427545aa3=t5-1m*=01p5i=d1s*i1d87*7d0=*1bfi532325fc54b12--ap33b5i111ae94-a3620cd0_113,,,,1,0,0,0,0,0,2,,,,,
No|6bb6c6594f5cb1a5700698e9a7d72619,,13,0,,2017-05-02 00:01:45,2017-05-02 00:01:48,20501405,0,3,,,0,,,0.00,111,,0,pic?0dd702630-49e3711i5538pb--61945cf623133i3b4*=2d4s8*=5dpi*=1d2i0t202*m4-0c=3605=5i80e_111,pic?0dd702630-49e3711i5538pb--61945cf623133i3b4*=2d4s8*=5dpi*=1d3i0t202*m4-0c=3605=5i80e_111,,,,0,0,0,0,0,0,2,,,,,
粤B|7486df2ca2f3f7f59b4b8a2516fe59b6,,0,0,,2017-05-02 00:01:45,2017-05-02 00:01:48,10300503,0,3,,,0,,,0.00,101,,0,pic?0dd50467b-49eb711i4e39pa--625c0e892b9e4i1b2*=9d8*14d4i*s1d=i1p1*=0-9t=0a8m45e06350i64=_101,pic?0dd50467b-49eb711i4e39pa--625c0e892b9e4i1b2*=9d8*14d4i*s1d=i1p1*=1-9t=0a8m45e06350i64=_101,,,,1,0,0,0,0,0,2,,,,,
粤B|1d15344f9791d1c2c127065b3af7dcf8,,0,0,,2017-05-02 00:01:44,2017-05-02 00:01:48,10203802,0,2,,,0,,,68.00,115,,0,pic?=d05ib95547023=t5-8m*=01p4i=d1s*i1d58*1d1=*1bcid3b325fc54017--8p1345i111fe94-836408d0_115,pic?=d05ib95547023=t5-9m*=01p4i=d1s*i1d58*1d1=*1bcid3b325fc54017--8p1345i111fe94-836408d0_115,,,,1,0,0,0,0,0,2,,,,,
No|6bb6c6594f5cb1a5700698e9a7d72619,,13,0,,2017-05-02 00:01:46,2017-05-02 00:01:49,20501404,0,1,,,0,,,0.00,109,,0,pic?=d06icb854e6d3=t4-8m*=01p4i=d1s*i7d60*0d6=*1b2i63e326fc54f10--bpf3a5i11d5e94-d9620dd0_109,pic?=d06icb854e6d3=t4-9m*=01p4i=d1s*i7d60*0d6=*1b2i63e326fc54f10--bpf3a5i11d5e94-d9620dd0_109,,,,0,0,0,0,0,0,2,,,,,
粤B|19bf4b51c3ebe10b2113ea9da5fc93bc,,0,0,,2017-05-02 00:01:46,2017-05-02 00:01:49,02010030,0,2,,,0,,,0.00,115,,0,pic?0dde0464a-49ec111i5434pb--52ac0e892b6e4i1b1*=8d5*80d2i*s1d=i6p1t=02*m4-5d=35c7=5i509_115,pic?0dde0464a-49ec111i5434pb--52ac0e892b6e4i1b1*=8d5*80d2i*s1d=i7p1t=02*m4-5d=35c7=5i509_115,,,,1,0,0,0,0,0,2,,,,,
粤B|3ceb04e5862564831d4c4d96de733d2b,,0,0,,2017-05-02 00:01:46,2017-05-02 00:01:49,20507402,0,1,,,0,,,0.00,115,,0,pic?=d05i4f6549463=t4-6m*=01p3i=d1s*i4d98*8d1=*1b3i231326fc5401a--bp23b5i11b9e94-fd6402d0_115,pic?=d05i4f6549463=t4-7m*=01p3i=d1s*i4d98*8d1=*1b3i231326fc5401a--bp23b5i11b9e94-fd6402d0_115,,,,1,0,0,0,0,0,2,,,,,
粤B|3e274803a24848143fd26fe436b414b0,,0,0,,2017-05-02 00:01:47,2017-05-02 00:01:49,02010027,0,3,,,0,,,0.00,101,,0,pic?0dd402682-49e4311i4233pb--21345cf623a33i3b8*=9d9s1*=4dpi*=1d6i8t202*m4-c6=36c9=5i90f_101,pic?0dd402682-49e4311i4233pb--21345cf623a33i3b8*=9d9s1*=4dpi*=1d7i8t202*m4-c6=36c9=5i90f_101,,,,1,0,0,0,0,0,2,,,,,
粤B|0bcbb8dc6f7919e7907ebdc36ab46db7,,0,0,,2017-05-02 00:01:47,2017-05-02 00:01:49,20602603,0,2,,,0,,,0.00,115,,0,pic?=d06iab0547063=t4-4m*=02p1i=d1s*i1d68*5d0=*1bcid38325fc5491f--apa3a5i11b2e94-b3630dd0_115,pic?=d06iab0547063=t4-5m*=02p1i=d1s*i1d68*5d0=*1bcid38325fc5491f--apa3a5i11b2e94-b3630dd0_115,,,,1,0,0,0,0,0,2,,,,,
粤B|dff4d36f2a31f931b0038c4ca8c87ea1,,0,0,,2017-05-02 00:01:47,2017-05-02 00:01:50,10200102,0,2,,,0,,,85.00,109,,0,pic?0ddb046c9-49e3d11i5f35pa--029c0e892b0e4i1b1*=6d5*05d4i*s1d=i1p1t=0d*m4-4c=352f=5i70e_109,pic?0ddb046c9-49e3d11i5f35pa--029c0e892b0e4i1b1*=6d5*05d4i*s1d=i2p1t=0d*m4-4c=352f=5i70e_109,,,,1,0,0,0,0,0,2,,,,,
粤B|90417859b362791d22da03077960146d,,2,0,,2017-05-02 00:01:46,2017-05-02 00:01:51,10300202,0,4,,,0,,,44.00,115,,0,pic?0ddd0363b-49e2b11i5a3apa--f1945cf52383dicb1*=0d5*87d2i*s1d=i2p9t=06*m4-4b=3607=5i00a_115,pic?0ddd0363b-49e2b11i5a3apa--f1945cf52383dicb1*=0d5*87d2i*s1d=i3p9t=06*m4-4b=3607=5i00a_115,,,,1,0,0,0,0,0,2,,,,,
