pre,test
631.625,629.0
666.625,465.0
603.9375,502.0
560.875,493.0
555.6875,370.0
505.5625,423.0
500.3125,434.0
514.6875,365.0
462.75,370.0
458.6875,417.0
453.25,349.0
414.25,308.0
414.0625,338.0
425.9375,285.0
377.9375,269.0
376.9375,307.0
369.125,234.0
324.0625,262.0
309.125,307.0
326.3125,222.0
307.1875,200.0
305.75,212.0
220.0,186.0
167.75,229.0
165.5625,238.0
155.875,168.0
160.5,196.0
174.0625,234.0
165.25,182.0
167.875,187.0
166.5625,202.0
158.8125,185.0
167.0,205.0
189.75,234.0
218.3125,258.0
218.25,255.0
213.125,331.0
260.5625,303.0
278.875,338.0
308.75,413.0
360.6875,379.0
391.875,480.0
458.9375,718.0
571.6875,769.0
707.5625,926.0
751.3125,1154.0
841.0625,822.0
909.1875,804.0
937.25,1065.0
953.3125,1276.0
974.125,1041.0
927.0,1206.0
973.4375,1311.0
1062.75,1052.0
1207.625,1172.0
1251.0625,1269.0
1314.0625,1057.0
1312.375,1192.0
1190.0625,1202.0
1258.625,871.0
954.3125,1074.0
965.0625,1041.0
969.875,660.0
982.5625,874.0
1004.75,1006.0
1019.8125,674.0
893.3125,912.0
877.4375,953.0
906.25,807.0
846.8125,905.0
881.0625,1057.0
860.9375,772.0
790.75,875.0
760.875,1014.0
793.0,678.0
721.6875,722.0
728.6875,858.0
755.25,678.0
797.8125,772.0
846.4375,841.0
891.875,779.0
888.5625,871.0
955.9375,1111.0
999.5,822.0
1002.5,1018.0
986.375,1154.0
1268.3125,920.0
1266.75,1040.0
1287.375,1005.0
1068.875,794.0
1059.625,1028.0
1027.0625,1259.0
1054.25,934.0
1017.625,1124.0
974.375,1223.0
1043.8125,977.0
1026.5625,1051.0
1023.5625,1207.0
1063.0,853.0
981.0625,889.0
998.0,1087.0
1029.6875,969.0
1019.5625,1171.0
1046.5,1303.0
1065.75,1018.0
947.1875,1147.0
1049.75,1293.0
1063.3125,1068.0
1029.625,1186.0
1007.9375,1344.0
1014.125,844.0
951.5625,1168.0
891.75,1068.0
854.4375,784.0
779.9375,807.0
724.4375,835.0
735.0,643.0
755.0625,780.0
741.3125,864.0
776.6875,690.0
790.6875,857.0
781.5,932.0
852.8125,704.0
848.1875,831.0
880.3125,878.0
919.4375,699.0
924.25,796.0
920.5625,928.0
922.9375,768.0
920.0625,829.0
908.0,913.0
899.625,669.0
864.1875,737.0
848.4375,819.0
822.25,610.0
806.5,687.0
785.625,717.0
753.5,534.0
742.0,630.0
734.1875,666.0
733.625,543.0
703.8125,582.0
702.0625,616.0
666.5625,475.0
