pre,test
1254.47173296,1166.0
1289.89587431,1409.0
1275.40047976,1457.0
1209.26432136,1160.0
1259.10278399,1304.0
1203.61041418,1340.0
864.174229462,535.0
860.615423368,548.0
832.34683972,649.0
808.675962952,457.0
825.091831513,519.0
807.885427831,498.0
743.953147268,426.0
723.664348663,442.0
663.70652621,502.0
663.036476215,336.0
716.190668768,406.0
672.380512732,400.0
643.463623091,324.0
690.339871342,371.0
646.949357475,356.0
618.728115388,281.0
629.297165557,308.0
631.028669948,292.0
556.271698546,243.0
484.877469763,290.0
452.911072965,273.0
539.395042468,201.0
550.136060295,265.0
571.797959957,264.0
516.150880471,196.0
566.994735841,246.0
552.082224969,262.0
562.037038868,201.0
625.402304311,290.0
493.608275887,293.0
504.559996216,228.0
563.344034548,261.0
557.97267205,298.0
601.711868347,275.0
688.330062397,298.0
719.00029354,355.0
795.795722507,341.0
870.661625482,431.0
910.893831166,522.0
1037.30685311,464.0
988.11752929,584.0
961.920707874,676.0
1028.11730768,553.0
1016.68926724,660.0
885.616296734,697.0
940.802097904,677.0
948.675484333,737.0
703.718457263,763.0
381.35386679,559.0
323.229733536,100.0
188.744825924,27.0
109.866172237,38.0
125.888417175,29.0
109.37204768,48.0
116.966361477,50.0
149.940876237,16.0
140.112843895,97.0
125.302112046,56.0
124.881067292,89.0
138.637825175,99.0
139.911152912,254.0
162.199573037,82.0
167.635512846,417.0
164.806405799,720.0
227.590737597,482.0
224.155128693,410.0
451.339953332,846.0
449.640959208,426.0
518.437142112,622.0
548.230242563,663.0
556.855941322,691.0
447.433360411,709.0
502.460040767,451.0
467.512467458,562.0
487.516966637,893.0
456.356981613,988.0
357.122085119,819.0
389.237822151,858.0
331.567356235,945.0
134.068935882,687.0
67.1751898055,60.0
108.061579949,153.0
116.462860081,150.0
102.663254747,91.0
118.608566327,102.0
178.572682187,102.0
60.2635937449,139.0
173.293143034,177.0
136.28761975,88.0
148.530056348,338.0
153.609275713,344.0
178.39847201,561.0
165.705200547,290.0
175.616964594,349.0
197.995018189,156.0
184.387580267,86.0
203.050663928,185.0
235.619855761,548.0
215.840844847,377.0
330.223415851,749.0
312.789212557,660.0
339.185964162,892.0
509.375698833,1016.0
655.614564225,841.0
636.573352089,1189.0
727.300991808,1393.0
850.131967961,1230.0
952.914571336,1334.0
1033.00289835,1703.0
1099.79423597,1279.0
1033.10657583,1465.0
1135.73020815,1579.0
1210.38044292,1262.0
1191.16731577,1300.0
1203.25773146,1789.0
1296.97095172,1394.0
1076.28532156,1435.0
1167.85087745,1753.0
1295.6330649,1238.0
1111.35420072,1596.0
1257.81037167,1757.0
1333.48457981,1448.0
1144.97162669,1595.0
1207.621821,1779.0
1134.4512377,1078.0
1087.41004682,1534.0
1120.17896848,1688.0
1234.24428755,1321.0
1171.62230673,1540.0
1329.51819919,1663.0
1270.32091428,1294.0
1199.33771081,1488.0
1289.12696278,1564.0
1392.42522929,1241.0
1188.0690209,1385.0
1272.59707147,1539.0
1363.84054026,1155.0
1238.71520176,1383.0
