2017-05-01 21:30:00-2017-05-01 22:00:00,监测点id
4791,10100204
4608,10100206
4453,10300207
4197,10100406
4073,30606706
3706,10300201
3447,30606707
3269,10100404
3054,10100405
2775,10200103
2663,10300202
2537,10100211
2536,30606704
2522,10200104
2514,20104403
2485,2010131
2464,10200102
2408,10200402
2402,10100205
2387,10100403
2273,20501811
2206,20100301
2123,20104404
2104,20104401
2097,20500304
2082,2010133
2051,30606708
2050,30606702
1946,10300505
1941,2010042
1935,20204001
1906,20501810
1903,30606710
1903,2010132
1894,10300212
1809,2010043
1805,20501404
1802,2010044
1801,20104605
1793,20501807
1775,10300213
1762,2010030
1741,20501805
1736,10300503
1725,20501803
1688,20100306
1652,20104402
1601,2010054
1518,20501804
1515,20501402
1483,20501802
1462,20501405
1457,20504602
1394,20501409
1382,2010040
1372,2010135
1371,20507303
1360,20501407
1351,10203801
1337,10203802
1322,20104607
1313,20501406
1310,20504202
1277,20501809
1272,20400801
1260,20101813
1233,2010073
1232,10306101
1231,20301814
1227,20504604
1174,20507304
1166,20502003
1134,20504603
1081,20502004
1065,2010036
1062,20504601
1058,2010038
1038,20606603
1037,20507302
1036,2010123
1014,2010010
990,2010041
957,20602404
957,2010039
943,30606705
931,20501403
930,20101816
878,20606602
875,2010250
862,10100604
862,20807202
856,20605301
850,10100603
826,20605302
806,20301815
805,2010026
798,10103501
797,2010046
787,20300615
784,20507301
775,10101001
774,20104606
764,30606709
756,20606604
755,10103502
751,10300602
735,2010053
718,10101004
710,2010025
700,10101003
698,20602104
696,20602406
693,20504203
691,20606606
682,20602603
675,20101812
652,20602602
638,20602403
631,20606601
628,20503401
626,20501808
620,20400806
619,20605402
613,2010045
608,20400802
608,20503402
608,10100612
607,20400805
604,2010019
603,2010020
594,20200905
584,20504901
582,2010037
582,2010021
581,2010017
581,2010031
581,30701903
580,20602103
567,20101817
567,2010009
560,20605101
558,2010048
554,30606002
541,30701902
533,2010062
489,2010018
481,20507403
480,20606605
477,2010122
470,2010047
467,20200906
464,20605102
463,2010052
461,2010024
452,2010141
447,20507402
440,2010029
438,2010003
434,2010004
433,2010002
431,10107802
428,2010120
425,2010072
424,20504205
421,20605001
414,2010118
407,30608002
401,20602405
400,2010070
393,20605202
389,2010005
383,2010063
378,30707902
377,20300701
376,30707901
373,20605401
372,2010064
368,2010119
