03:30-04:00,监测点id
1836,30606702
1105,10100211
974,10100406
939,10100405
823,10200402
797,20204001
564,2010132
555,10200103
541,10200104
538,10300212
538,10200102
524,2010133
499,20100301
477,10100403
475,10300201
473,2010044
466,10300202
434,20501405
426,10100204
422,10300213
418,20500304
392,10300207
379,20501409
374,20100306
369,10100404
367,20501810
365,20501407
363,2010131
363,10100205
349,10203801
346,30606706
344,10100206
343,2010073
338,20602404
337,2010017
335,20501404
321,2010019
313,10203802
312,20501403
295,2010018
292,20602406
287,10300503
286,20104404
281,20507302
277,20104403
277,20507304
275,20501802
272,20501803
269,10300505
267,30606708
266,20501402
265,20501406
263,2010042
261,20602603
260,2010010
259,20605301
256,2010135
255,30606707
252,20104605
250,30606704
247,20104401
246,2010043
244,20507303
240,20507301
238,2010054
233,20501807
232,20602403
230,20605302
228,20501805
222,20301815
217,20504602
215,20400805
214,20507402
214,20400806
212,20507403
212,20101816
211,30606002
207,20602602
205,10103502
202,20501809
200,20602405
197,20104607
196,10306101
194,2010123
188,20504601
188,20504202
186,20504603
183,20400801
180,20104402
179,10100612
178,10100604
178,20606603
174,2010250
168,10103501
163,20501811
161,20101813
155,10101003
155,20301814
154,20300615
149,2010040
149,2010045
148,30602504
146,10101004
144,10100603
142,2010046
142,20504604
140,10300602
139,2010072
137,2010026
137,2010053
137,20606606
135,20606605
135,20501808
135,20602104
130,20502004
128,20504203
127,30701903
121,20503401
121,2010001
116,20605102
114,31006901
113,10101001
111,20200905
111,10107802
110,2010038
110,20606602
109,2010015
109,30606709
109,30701902
108,20400802
106,2010036
105,20503402
101,30606710
101,20101817
101,2010118
100,2010025
100,20605101
99,2010031
98,20605202
96,2010117
94,20104606
92,20606601
92,10107801
91,20504205
90,30608002
89,2010047
89,20502003
89,30608001
87,2010122
87,20504501
87,30707902
86,20101812
84,20200906
84,2010020
83,2010030
82,2010021
81,2010029
81,20504801
81,20602103
80,20504901
80,20606604
79,2010052
78,2010119
77,2010003
77,2010002
77,2010048
77,20504204
76,20602106
76,2010120
76,2010004
75,20300701
74,2010064
73,30707901
73,30606705
72,2010375
70,2010077
70,10101302
68,2010141
68,20204101
66,20402801
66,2010063
62,2010078
61,2010061
60,10107702
60,2010134
59,20807202
59,20504802
59,2010060
58,2010062
56,2010074
56,2010059
55,2010005
54,2010124
54,2010125
53,2010009
53,2010121
53,2010050
52,2010039
51,2010041
50,2010024
50,2010016
49,10107701
48,2010082
46,20605201
45,2010035
44,2010070
43,20605502
42,20605001
41,20605401
41,2010071
40,2010140
40,2010055
39,10403701
39,20605402
38,2010034
37,10104301
37,20501411
36,10207101
36,2010081
34,20501410
34,2010127
32,2010014
32,10101301
31,2010374
30,20602105
29,2010129
29,2010056
29,2010049
29,30603301
29,20605501
25,2010083
24,2010027
24,20807601
23,10207102
22,20807502
22,2010126
22,2010013
21,10100407
20,2010037
19,2010128
19,2010028
16,20807602
15,2010084
15,20501408
14,20605002
13,2010319
13,2010057
13,30602505
12,2010069
11,10200903
11,20606503
10,2010366
10,10200901
10,2010364
10,20501412
10,20807501
10,20506501
9,20403602
9,2010058
9,20501413
8,10100408
8,20506502
8,2010116
7,2010335
7,20504902
7,20400804
7,2010325
7,2010156
7,2010379
7,2010248
6,10301101
6,30606703
6,20606504
6,10100606
6,2010345
6,2010080
6,2010205
6,2010249
6,2010198
6,2010079
6,2010194
6,10100605
6,2010224
6,2010223
5,20602102
5,2010137
5,2010290
5,2010363
5,10300506
5,2010365
5,2010219
4,2010380
4,30602506
4,10103901
4,2010303
4,20602101
4,2010200
4,2010222
4,2010354
4,2010188
4,2010302
4,2010336
4,2010225
3,2010320
3,10200614
3,2010149
3,10301102
3,2010216
3,10200904
3,2010326
3,20501901
3,2010203
3,2010202
3,2010195
3,10200613
3,2010189
3,2010341
3,10300607
3,10100610
3,2010301
3,2010288
3,2010337
3,2010296
2,10101201
2,2010192
2,2010309
2,10300601
2,2010357
2,2010269
2,2010220
2,2010277
2,2010289
2,20602601
2,2010199
2,20602201
2,10300504
2,2010267
2,2010190
2,2010358
2,2010214
2,2010332
2,2010353
2,2010182
2,2010179
2,2010311
2,2010184
2,2010346
2,20507401
2,2010165
2,2010344
2,2010163
2,2010154
1,2010185
1,2010114
1,2010286
1,2010201
1,2010333
1,2010285
1,2010284
1,2010283
1,30605901
1,31007001
1,2010304
1,2010342
1,2010294
1,2010295
1,2010280
1,2010343
1,2010306
1,2010300
1,2010347
1,10100609
1,2010350
1,2010281
1,2010276
1,2010331
1,2010235
1,20501701
1,2010308
1,2010172
1,2010208
1,2010168
1,20400803
1,2010166
1,2010221
1,2010151
1,2010143
1,2010242
1,2010278
1,2010243
1,2010307
1,2010138
1,2010257
1,2010258
1,2010268
1,2010328
1,2010274
1,2010275
1,2010378
1,2010305
